年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,人口あたり宗教の事業所数,68.2
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,人口あたりNPOの数,53.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,関係人口創出活動指数,80.0
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,議会の女性議員割合,44.9
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,自治体における管理職の女性割合,44.5
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,自治体職員における障害者の割合,75.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,人口あたり外国人人口,38.5
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,地域の人間関係,多様性政策指数,33.6
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,首長選挙の投票率,72.8
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,市区町村議会選挙の投票率,74.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,健康寿命（男性）,38.3
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,健康寿命（女性）,47.2
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,48.3
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,大卒・院卒者の割合,36.7
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,人口あたり生涯学習講座数,47.7
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,52.3
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,46.4
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.6
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,完全失業率,42.6
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,若年層完全失業率,37.6
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,正規雇用者比率,41.0
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,高齢者有業率,62.0
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,高卒者進路未定者率,44.8
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,市区町村内で従業している者の割合,62.0
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,創業比率,44.1
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,納税者あたり課税対象所得,44.8
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",45.0
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,新規設立法人の割合,31.4
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,49.9
2023年度版(令和5年度版),全国調査,"和歌山県 田辺市",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
