年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,正規雇用者比率,47.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,高齢者有業率,42.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,高卒者進路未定者率,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,市区町村内で従業している者の割合,43.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,創業比率,73.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,納税者あたり課税対象所得,40.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",47.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,新規設立法人の割合,80.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,47.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
